C?digo postal;Estado;;;;
20190;Aguascalientes;;;;
20190;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20196;Aguascalientes;;;;
20198;Aguascalientes;;;;
20198;Aguascalientes;;;;
20198;Aguascalientes;;;;
20199;Aguascalientes;;;;
20199;Aguascalientes;;;;
20199;Aguascalientes;;;;
20199;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20200;Aguascalientes;;;;
20205;Aguascalientes;;;;
20205;Aguascalientes;;;;
20206;Aguascalientes;;;;
20206;Aguascalientes;;;;
20206;Aguascalientes;;;;
20207;Aguascalientes;;;;
20207;Aguascalientes;;;;
20208;Aguascalientes;;;;
20210;Aguascalientes;;;;
20210;Aguascalientes;;;;
20210;Aguascalientes;;;;
20210;Aguascalientes;;;;
20216;Aguascalientes;;;;
20217;Aguascalientes;;;;
20218;Aguascalientes;;;;
20218;Aguascalientes;;;;
20218;Aguascalientes;;;;
20218;Aguascalientes;;;;
20218;Aguascalientes;;;;
20218;Aguascalientes;;;;
20218;Aguascalientes;;;;
20218;Aguascalientes;;;;
20218;Aguascalientes;;;;
20219;Aguascalientes;;;;
20219;Aguascalientes;;;;
20219;Aguascalientes;;;;
20220;Aguascalientes;;;;
20220;Aguascalientes;;;;
20229;Aguascalientes;;;;
20230;Aguascalientes;;;;
20230;Aguascalientes;;;;
20230;Aguascalientes;;;;
20234;Aguascalientes;;;;
20234;Aguascalientes;;;;
20235;Aguascalientes;;;;
20235;Aguascalientes;;;;
20235;Aguascalientes;;;;
20235;Aguascalientes;;;;
20235;Aguascalientes;;;;
20236;Aguascalientes;;;;
20237;Aguascalientes;;;;
20237;Aguascalientes;;;;
20238;Aguascalientes;;;;
20239;Aguascalientes;;;;
20240;Aguascalientes;;;;
20240;Aguascalientes;;;;
20240;Aguascalientes;;;;
20240;Aguascalientes;;;;
20240;Aguascalientes;;;;
20240;Aguascalientes;;;;
20240;Aguascalientes;;;;
20240;Aguascalientes;;;;
20240;Aguascalientes;;;;
20240;Aguascalientes;;;;
20247;Aguascalientes;;;;
20248;Aguascalientes;;;;
20249;Aguascalientes;;;;
20250;Aguascalientes;;;;
20250;Aguascalientes;;;;
20250;Aguascalientes;;;;
20250;Aguascalientes;;;;
20250;Aguascalientes;;;;
20250;Aguascalientes;;;;
20255;Aguascalientes;;;;
20255;Aguascalientes;;;;
20256;Aguascalientes;;;;
20256;Aguascalientes;;;;
20256;Aguascalientes;;;;
20256;Aguascalientes;;;;
20256;Aguascalientes;;;;
20256;Aguascalientes;;;;
20257;Aguascalientes;;;;
20259;Aguascalientes;;;;
20259;Aguascalientes;;;;
20260;Aguascalientes;;;;
20260;Aguascalientes;;;;
20260;Aguascalientes;;;;
20260;Aguascalientes;;;;
20260;Aguascalientes;;;;
20260;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20263;Aguascalientes;;;;
20264;Aguascalientes;;;;
20264;Aguascalientes;;;;
20264;Aguascalientes;;;;
20265;Aguascalientes;;;;
20266;Aguascalientes;;;;
20266;Aguascalientes;;;;
20266;Aguascalientes;;;;
20266;Aguascalientes;;;;
20267;Aguascalientes;;;;
20267;Aguascalientes;;;;
20267;Aguascalientes;;;;
20267;Aguascalientes;;;;
20268;Aguascalientes;;;;
20269;Aguascalientes;;;;
20270;Aguascalientes;;;;
